text_tweet_clean,scores,compound,sentimen
 semoga anak keturunan kita terhindar dari seks bebas ,"{'neg': 0.0, 'neu': 0.53, 'pos': 0.47, 'compound': 0.7351}",0.7351,positif
 pendidikan seks dan kespro diajarin sekolah bisa cegah seks bebas hmm tergantung kontennya kalau isinya justru menjadi maklumat baru bisa bukannya mencegah malah mengompori ,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.6705}",0.6705,positif
 salah satu bentuk kriminalitas yang lain adalah tentang pergaulan bebas sistem kufur tak memerhatikan sama sekali tentang persoalan ini sistem itu justru mempertuhankan hawa nafsu bagi sistem tersebut hubungan seks diperbolehkan selama tidak merugikan orang lain ,"{'neg': 0.198, 'neu': 0.715, 'pos': 0.087, 'compound': -0.7414}",-0.7414,negatif
 kalau afganistan anak perempuan cuman dpt pendidikan formal ntp negeri ini ribuan anak perempuan terjerumus dalam seks bebas akibat buruknya sistem sosial diciptakan oleh negara ,"{'neg': 0.104, 'neu': 0.74, 'pos': 0.157, 'compound': 0.2023}",0.2023,positif
 ngerinya pacaran remaja nseks menjadikan bucin sampai emosi terkendali npenganiayaan david bermula dari pacaran yang kebablasan dan praktik seks bebas ,"{'neg': 0.202, 'neu': 0.714, 'pos': 0.084, 'compound': -0.6808}",-0.6808,negatif
 imo this all rooted sex education selama edukasi seksual dianggap tabu amp mewajarkan seks bebas dan anak dibiarin ngeraba dan eksplor sendiri sambil ditakut soal dosa dan neraka this would never end ,"{'neg': 0.169, 'neu': 0.763, 'pos': 0.068, 'compound': -0.7096}",-0.7096,negatif
 sumpah banyak bgt konten ini kek apa bgt anjing plus komennya asu ini termasuk menormalisasikan seks bebas cuma gunain orang dewasa tapi anak piyik juga udah pada main gue laporin katanya melangar pedoman emng asu ,"{'neg': 0.156, 'neu': 0.75, 'pos': 0.093, 'compound': -0.4497}",-0.4497,negatif
 cara khilafah mengatasi pergaulan bebas nslh satu btk kriminalits lain adlh ttg pgauln bebas sistem kufur tak mmerhatikn sama skali ttg psoaln ini sistem itu justru mpertuhankn hawa nafsu bagi sistem tsb hubungn seks dperbolehkn slm tdk mrugikn org lain ,"{'neg': 0.107, 'neu': 0.759, 'pos': 0.134, 'compound': 0.1333}",0.1333,positif
 tah drimana anjj pede bgt bilang kek gtu xad nudh blg bentuk trauma sll menjauhi sumber traumanya korban pmerkosaan ada masa depan plaku seks bebas malah tanya knp bnyk faktornya capek jelasin mending tanya org profesional bdg psikologis lgsg ,"{'neg': 0.302, 'neu': 0.538, 'pos': 0.16, 'compound': -0.8513}",-0.8513,negatif
 soal yang ada sorga yahudi cuma ada pujian dan penyembahan kepada allah kristen cuma ada pujian dan penyembahan kepada allah islam sibuk pecahin perawan dan seks bebas ,"{'neg': 0.055, 'neu': 0.531, 'pos': 0.414, 'compound': 0.9485}",0.9485,positif
 gabut dong bebas mau chat seks atau ngobrol chatseks chatsex ,"{'neg': 0.172, 'neu': 0.699, 'pos': 0.129, 'compound': -0.1695}",-0.1695,negatif
 efek jangka panjang seks bebas itu ngeri gaes nbisa sampe keturunan kita nanti ,"{'neg': 0.184, 'neu': 0.597, 'pos': 0.219, 'compound': -0.0772}",-0.0772,negatif
 tanda semarang darurat seks bebas dan nikah muda ngga gimana opini kamu dips ,"{'neg': 0.145, 'neu': 0.67, 'pos': 0.184, 'compound': 0.1779}",0.1779,positif
 seks bebas jugaa ,"{'neg': 0.0, 'neu': 0.377, 'pos': 0.623, 'compound': 0.5106}",0.5106,positif
 bokep ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 untuk kawan saya yang sobat seks bebas tapi highkey pengen cewe suci kata gue juga denger ini tau diri nape anying ,"{'neg': 0.0, 'neu': 0.688, 'pos': 0.312, 'compound': 0.6908}",0.6908,positif
 orang islam pada ribet bgt ngurusin seks bebas bukannya ngurusin oknum muslim pedofil dan doyan incest sama sepupu sendiri ,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.9201}",0.9201,positif
 pede gila pakde pakde yang ngelaporin bima ntar indo yang kaya bima pada kabur semua sisanya apa generasi penyakitan gila seks bebas yang pada hamil diluar nikah pfft ,"{'neg': 0.117, 'neu': 0.636, 'pos': 0.247, 'compound': 0.743}",0.743,positif
 abangnya bener jadi seks bebas jadinya korban pembunuhan ,"{'neg': 0.415, 'neu': 0.366, 'pos': 0.218, 'compound': -0.4976}",-0.4976,negatif
 mempertahankan harga dirinya berarti dengan sekuat tenaga dan mempertaruhkan nyawanya seks bebas dan pemerkosaan tentu dua hal yang berbeda seks bebas mau sma mau pemerkosaan atas dsar ancaman ,"{'neg': 0.275, 'neu': 0.473, 'pos': 0.252, 'compound': -0.296}",-0.296,negatif
 terus yang bagus gimana kak kita gabisa kontrol semua manusia membiarkan seks bebas dimana mana ,"{'neg': 0.0, 'neu': 0.659, 'pos': 0.341, 'compound': 0.7351}",0.7351,positif
 steatment anda ngga rasional dua dua hal itu salah seakan disini anda membela dan menormalisasikan gay kenapa harus ada seks bebas yang menjadi tolak ukur nya padahal udah jelas gay juga udah salah banget apalagi konteks selanjut nya anda berbicara tentang taat kepada tuhan ,"{'neg': 0.159, 'neu': 0.741, 'pos': 0.1, 'compound': -0.4939}",-0.4939,negatif
 udah blg sex buat anak anak indonesia penting even wkt itu orang kantor nganggep skripsi jorok krn bahas seks bebas well give opportunity women have their rights xbb xef ngehindarin aborsi ngehindarin dilecehkan look this now isi skripsi bener aja xbb xef ,"{'neg': 0.175, 'neu': 0.663, 'pos': 0.162, 'compound': -0.2023}",-0.2023,negatif
 medsos penuh dengan pornografi yang mendorong seks bebas remaja sekarang sepertinya jarang yang masih perawan siapa bertanggungjawab ,"{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.8176}",0.8176,positif
 apakah aakan banding putusan pengadilan atas tahun utk remaja thn provokator pembohong dan penyuka seks bebas terlalu pendek ,"{'neg': 0.135, 'neu': 0.637, 'pos': 0.227, 'compound': 0.3182}",0.3182,positif
 itu pentingnya edukasi seks agar tidak pergaulan bebas kalo pun udah terlanjur bebas setidaknya jgn bohong dilecehkan pada dasarnya cewek memang demen aja bakat jadi jablay gara sangenya cewek anak orang dibuat koma loh ,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.9417}",0.9417,positif
 orang fokus usia masih bawah umur kalo suka sama suka artinya gak ada korban ada keduanya pelaku seks bebas ntemen aja ada lulus smp langsung nikah gak ada teriak pedofil desa masih banyak nikah muda bawah umur ,"{'neg': 0.157, 'neu': 0.701, 'pos': 0.142, 'compound': 0.0258}",0.0258,positif
 udah jgn menghakimi udah seks bebas harusnya dipertanyakan itu cwo kenapa berkali seks dgn anak dibawah umur mengenal istilah suka sama suka lho cwe tetep korban walaupun dah dinyatakan bersalah turut serta rencanain penganiayaan ,"{'neg': 0.177, 'neu': 0.725, 'pos': 0.098, 'compound': -0.4592}",-0.4592,negatif
 kan udh jls pelaku pantes hukum kasus pedofil harusnya dalemin dgn jelas karna pasti bnyak pelaku selain amp otomatis fact akan muncul pasti bukan grooming doang pasti ada awal amp fact lain bisa seksbebas cth pemerkosaan efek pornografi hasutan tman dll ,"{'neg': 0.131, 'neu': 0.65, 'pos': 0.219, 'compound': 0.7003}",0.7003,positif
 seks gaya bebas ,"{'neg': 0.0, 'neu': 0.37, 'pos': 0.63, 'compound': 0.1779}",0.1779,positif
 kamu emang hobinya seks bebas aja ,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.5106}",0.5106,positif
 dia ngetwit harusnya kalian sedih seakan kita hrs sedih simpatik sma tukang fitnah ewh padhal bnyak fact amp awal remaja lakukan seksbebas selalu diawali dgn grooming loh telusuri orang pertama ngewe dgn krn itu plaku amp fact lain knp terjerumus seksbebas ,"{'neg': 0.094, 'neu': 0.756, 'pos': 0.15, 'compound': 0.5719}",0.5719,positif
 tetanggaku lulus nikah karena hamil wkwk kira kira usia lah njadi heran kalo udah seks bebas ,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.803}",0.803,positif
 kaget lagi diusia agnes dan dandy yang udah kali seks bebas ,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.6369}",0.6369,positif
 kasus mario dandy bermula dari gaya pacaran kebablasan dan praktik seks bebas riaunews ,"{'neg': 0.0, 'neu': 0.809, 'pos': 0.191, 'compound': 0.5106}",0.5106,positif
 iya itu penyakit gapapa nder cari kesibukan aja biar lupa sama inget kalau kelakuan seks bebas kauman itu ganjarannya langsung hiv aids xbf nsemoga tuhan selalu merahmatimu dengan hidayah nya ,"{'neg': 0.042, 'neu': 0.588, 'pos': 0.37, 'compound': 0.9407}",0.9407,positif
 agama udah paling bener dah cewe itu balighnya usia tahun artinya udah memiliki syahwat dan boleh nikah tapi negara malah tuain usia pernikahan ditambah arus informasi dan conten berbau seksualitas semakin menjamur makanya gak heran seks bebas semakin merajalela ,"{'neg': 0.052, 'neu': 0.876, 'pos': 0.072, 'compound': 0.3032}",0.3032,positif
 iya sih bagusan seks bebas aja ,"{'neg': 0.0, 'neu': 0.165, 'pos': 0.835, 'compound': 0.8779}",0.8779,positif
 dulu ada aktor yang kayanya kekerasan seks atau pedo bebas malah masuk berhari hari bagusnya ngga lama ilang sampai sekarang ,"{'neg': 0.1, 'neu': 0.66, 'pos': 0.24, 'compound': 0.6908}",0.6908,positif
 fokus nyalahin sih ncuma objektif aja bsa ttup mata juga kan klau trnyata klakuan mreka brtiga sama aja cseks bebas ntoh juga ada untung rugi klau berat sebelah kan ,"{'neg': 0.102, 'neu': 0.741, 'pos': 0.157, 'compound': 0.5873}",0.5873,positif
 yang penting taat minum obatnya dan jangan lupa untuk menjauhi seks bebas ,"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.6971}",0.6971,positif
 full channel vidio bokep indo abg mesum viral ,"{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.5106}",-0.5106,negatif
 bokep indo viral mesum nbokep viral bokep ,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 menonton bahaya pacaran seks bebas ,"{'neg': 0.278, 'neu': 0.435, 'pos': 0.287, 'compound': 0.0258}",0.0258,positif
 kenapa orang luar pada takut sama org nikah muda dipanggil istilahnya pedo tapi melegalkan seks bebas padahal nikah nggak hanya tentang seks ,"{'neg': 0.0, 'neu': 0.832, 'pos': 0.168, 'compound': 0.6652}",0.6652,positif
 tepi jurang sekali dan apple apple nbahkan pendapat suatu kelompok yang paling konservatif pun tetap saja menyatakan bhw hubungan badan harus didahului dgn pernikahan sah bukan seks bebas ,"{'neg': 0.084, 'neu': 0.87, 'pos': 0.047, 'compound': -0.2964}",-0.2964,negatif
 terungkap dalam persidangan seks bebas yang mengejutkan agnes agnesgraciaharyanto mariodandy davidozora shane rafael pajakkitauntukkita pajak ,"{'neg': 0.106, 'neu': 0.741, 'pos': 0.153, 'compound': 0.25}",0.25,positif
 jaman sekarang rusaknya moral remaja karena hubungan seks bebas yang anggap lumrah dikalangan remaja ,"{'neg': 0.137, 'neu': 0.708, 'pos': 0.156, 'compound': 0.1027}",0.1027,positif
 lol ajaib banget kan pas kritik seks bebas katanya seks bebas boleh meskipun masing setuju tapi pas ada org dewasa ngewe dengan anak bawah umur bilangnya yaa anak juga mau dia bukan batu yang bisa nerima aja wkwkwkwk logika lucu ,"{'neg': 0.031, 'neu': 0.635, 'pos': 0.334, 'compound': 0.9349}",0.9349,positif
 seks bebas ,"{'neg': 0.0, 'neu': 0.233, 'pos': 0.767, 'compound': 0.5106}",0.5106,positif
 pergaulan bebas ini perlu dibreakdown apa aja nder karena kayanya term ini ada misal kamu maksud adalah seks berisiko konsumsi alkohol konsumsi rokok konsumsi narkoba bisa masuk health risk behavior keywordnya chealth risk behavior prevention ,"{'neg': 0.243, 'neu': 0.757, 'pos': 0.0, 'compound': -0.8807}",-0.8807,negatif
 njadi ada amalan seks bebas antara okt dan pembuat laporan nke apa nlain macam kesimpulan ,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5106}",0.5106,positif
 malah jadi iklan seks bebas goblog nya netijen indon gini nih ngeramein pereweannya doang ,"{'neg': 0.0, 'neu': 0.829, 'pos': 0.171, 'compound': 0.5106}",0.5106,positif
